scaffold_id,product_id,smiles,inchikey,num_elaborations,is_scaffold,num_routes,route_1_num_steps,route_1_reaction_1_type,route_1_reaction_1_product_smiles,route_1_reaction_1_product_id,route_1_reaction_1_product_yield,route_1_reaction_1_reactant_1_smiles,route_1_reaction_1_reactant_1_id,route_1_reaction_1_reactant_2_smiles,route_1_reaction_1_reactant_2_id
104,104,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,ONGQCMNCDUWDOR-UHFFFAOYSA-N,0,True,1,1,Amidation,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,104,1.0,Cn1nc(C(=O)O)c2ccccc21,122409,NCCc1cocn1,122418
108,108,COCC(C)NC(=O)c1nn(C)c2ccccc12,UFYNWTYMVOYUIH-UHFFFAOYSA-N,0,True,1,1,Amidation,COCC(C)NC(=O)c1nn(C)c2ccccc12,108,1.0,Cn1nc(C(=O)O)c2ccccc21,122409,COCC(C)N,122422
122393,122393,O=C(NCCc1cocn1)N1CCc2ccccc21,CFBYKVAFAXYDRK-UHFFFAOYSA-N,1,True,1,1,Formation_of_urea_from_two_amines,O=C(NCCc1cocn1)N1CCc2ccccc21,122393,1.0,NCCc1cocn1,122418,c1ccc2c(c1)CCN2,122428
122489,122489,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,VJNDTMIDSGNFJC-UHFFFAOYSA-N,3,True,1,1,Amidation,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,122489,1.0,NC(=O)C1CCCNC1,62341,COc1cccnc1CC(=O)O,122542
122496,122496,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,OEVXZKJZIWUQNR-UHFFFAOYSA-N,3,True,1,1,Amidation,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,122496,1.0,NC(=O)C1CCCNC1,62341,CSc1ccccc1CC(=O)O,122548
124220,124220,O=C(NCCc1cocn1)C1CCc2ccccc21,ZFSYVJFUGWTONQ-UHFFFAOYSA-N,1,True,1,1,Amidation,O=C(NCCc1cocn1)C1CCc2ccccc21,124220,1.0,NCCc1cocn1,122418,O=C(O)C1CCc2ccccc21,125495
124230,124230,NC(=O)C1CCCN(C(=O)Cc2ccccn2)C1,WMWYUEBZLNFETL-UHFFFAOYSA-N,3,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)Cc2ccccn2)C1,124230,1.0,NC(=O)C1CCCNC1,62341,O=C(O)Cc1ccccn1,150352
124231,124231,NC(=O)C1CCCN(C(=O)C2CCOc3ccccc32)C1,RICWRLKMGADZTG-UHFFFAOYSA-N,3,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)C2CCOc3ccccc32)C1,124231,1.0,NC(=O)C1CCCNC1,62341,O=C(O)C1CCOc2ccccc21,146197
124232,124232,NC(=O)C1CCCN(C(=O)Cc2ccn[nH]2)C1,WPGNVVSWAWFFDK-UHFFFAOYSA-N,3,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)Cc2ccn[nH]2)C1,124232,1.0,NC(=O)C1CCCNC1,62341,O=C(O)Cc1ccn[nH]1,133593
124236,124236,NC(=O)C1CCCN(C(=O)C2CCc3ccccc32)C1,QLOUCWDEXUZFHL-UHFFFAOYSA-N,7,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)C2CCc3ccccc32)C1,124236,1.0,NC(=O)C1CCCNC1,62341,O=C(O)C1CCc2ccccc21,125495
124229,124298,NC(=O)C1CCCN(C(=O)C2Cc3ccccc32)C1,CNBXJERKUOMWMW-UHFFFAOYSA-N,29,False,1,1,Amidation,NC(=O)C1CCCN(C(=O)C2Cc3ccccc32)C1,124298,1.0,NC(=O)C1CCCNC1,62341,O=C(O)C1Cc2ccccc21,124297
124233,126239,CC(=O)Nc1ccccc1OC(C)c1ncccn1,BUJUUQXQLVBOFY-UHFFFAOYSA-N,10,False,1,1,Williamson_ether_synthesis,CC(=O)Nc1ccccc1OC(C)c1ncccn1,126239,1.0,CC(Cl)c1ncccn1,126088,CC(=O)Nc1ccccc1O,126116
124237,155378,NC(=O)C1CCN(C(=O)Cc2cccc(O)c2)C1,OULQYZGGAAHHFM-UHFFFAOYSA-N,28,False,1,1,Amidation,NC(=O)C1CCN(C(=O)Cc2cccc(O)c2)C1,155378,1.0,NC(=O)C1CCNC1,122505,O=C(O)Cc1cccc(O)c1,124345
